Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume
Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
BKCI|2752|0|3794|Q
BKD|89329|0|223682|Q,N
BKE|33099|63|91145|Q,N
BKEM|405|0|1512|Q
BKF|16|0|1023|Q
BKGI|344|0|601|Q
BKH|56152|8|95130|Q,N
BKHAR|100|0|5045|Q
BKHY|7202|0|14618|Q,N
BKIE|5879|301|12693|Q,N
BKIV|51|0|82|Q
BKKT|18125|605|32565|B,Q,N
BKKT/WS|5031|0|5881|Q
BKLC|30204|310|50973|Q,N
BKLN|3521017|27|7241781|B,Q,N
BKMC|1593|0|4300|Q
BKN|8196|0|21429|Q,N
BKNG|30453|384|57050|B,Q,N
BKR|787568|0|2205444|B,Q,N
BKSE|279|0|652|Q
BKSY|257632|5645|386417|B,Q,N
BKSY/WS|12178|0|17418|Q
BKT|6188|0|34431|B,Q,N
BKTI|4038|0|10598|Q,N
BKU|53567|160|223710|B,Q,N
BKUI|684|0|3872|Q
BKV|6996|0|20310|B,Q,N
BKWO|3|0|3|Q
BKYI|74065|22414|134123|B,Q,N
BL|34725|0|75207|B,Q,N
BLAC|10|0|10|N
BLBD|278357|517|353632|B,Q,N
BLCN|879|0|4061|B,Q
BLCO|89143|50|426284|B,Q,N
BLCR|100|0|100|Q
BLCV|163|0|421|Q
BLD|75546|75|137096|B,Q,N
BLDE|30931|279|108199|Q,N
BLDG|2425|0|2476|Q
BLDP|1994198|334|3266911|B,Q,N
BLDR|355638|194|800603|B,Q,N
BLE|12669|0|46066|Q,N
BLES|1572|0|4550|Q,N
BLEUR|8800|0|30811|Q
BLFS|62369|1872|118762|B,Q,N
BLFY|2621|0|7370|Q,N
BLIN|42782|0|89738|B,Q,N
BLK|129824|20|220196|B,Q,N
BLKB|43443|4|72070|Q,N
BLKC|26|0|198|Q
BLLD|5605|0|6021|Q
BLMN|251385|1614|586512|B,Q,N
BLMZ|2141|59|20275|Q,N
BLND|199060|150|419305|Q,N
BLNK|1205389|20598|2033442|B,Q,N
BLOK|25718|0|89179|B,Q,N
BLRX|34648|0|172845|Q,N
BLTE|30237|738|60384|Q,N
BLUE|1059721|28057|1931316|Q,N
BLV|69518|365|184774|B,Q,N
BLW|27666|0|51147|Q,N
BLX|8438|0|18767|Q,N
BLZE|23387|3259|62321|Q,N
BMA|68347|0|107710|B,Q,N
BMAR|905|0|2590|Q
BMAY|100|0|1800|Q
BMBL|472448|12280|1080905|B,Q,N
BME|4987|100|15493|B,Q,N
BMEA|187185|1350|352333|B,Q,N
BMEZ|29935|0|122250|B,Q,N
BMI|21863|0|39637|B,Q,N
BMLpG|2290|0|2589|Q,N
BMLpH|1842|0|4232|Q
BMLpJ|3406|0|6528|Q
BMLpL|3445|0|12923|Q
BMN|5073|0|6596|Q,N
BMO|115756|611|172134|B,Q,N
BMR|61267|4492|151662|Q,N
BMRA|41228|1059|65516|Q,N
BMRC|7863|0|18233|Q,N
BMRN|136104|1556|451141|B,Q,N
BMTX|30245|2662|87603|Q,N
BMY|1697095|10431|4637416|B,Q,N
BN|301541|1746|718652|B,Q,N
BNAI|15715|0|65066|Q
BNAIW|138|0|463|Q
BND|2226975|13266|3691580|B,Q,N
BNDC|224|0|4907|Q
BNDD|608|0|2251|Q
BNDI|67|0|4035|Q,N
BNDW|182994|0|210632|B,Q,N
BNDX|1300159|904|1946784|B,Q,N
BNED|24585|299|36499|B,Q,N
BNGE|1|0|50|Q
BNGO|591675|6614|914483|B,Q,N
BNH|5888|289|8272|Q
BNJ|1284|0|2906|Q
BNL|150307|0|243263|Q,N
BNO|14662|100|57194|Q,N
BNOV|24853|0|25994|Q,N
BNOX|56070|0|172767|Q,N
BNR|508|0|1484|Q,N
BNRG|20970|0|79319|Q,N
BNS|230783|2708|338493|B,Q,N
BNT|5598|203|16456|B,Q,N
BNTC|3456|12|10300|B,Q,N
BNTX|171647|897|272049|B,Q,N
BNY|18747|0|40387|Q
BNZI|19827|1|39094|Q,N
BOAT|3110|203|4603|B,Q
BOC|13932|0|37514|B,Q,N
BOCN|1|0|10|Q
BOCT|21155|0|39858|Q,N
BODI|9474|0|15051|Q
BOE|40467|600|98680|Q,N
BOF|6884|101|34519|Q,N
BOH|86032|86|135403|B,Q,N
BOHpA|1289|0|4296|Q
BOHpB|4194|0|6620|Q
BOIL|2285557|26780|6913924|B,Q,N
BOKF|13655|38|66785|Q,N
BOLD|2529|9|4443|Q,N
BOLT|12057|40|18334|Q,N
BON|134|0|198|Q
BOND|104181|0|266249|B,Q,N
BOOM|39873|0|74218|B,Q,N
BOOT|218418|277|426559|B,Q,N
BORR|742904|2632|1218966|B,Q,N
BOSC|3883|0|10794|B,Q,N
BOTJ|2968|0|5878|Q
BOTT|62|0|163|Q,N
BOTZ|63667|1668|162138|Q,N
BOUT|27|0|310|Q
BOW|30546|0|56401|Q,N
BOWL|194061|202|750272|B,Q,N
BOWN|20|0|20|Q
BOX|163691|141|350486|B,Q,N
BOXL|142|0|5174|Q,N
BOXX|158802|1929|228454|Q,N
BP|985508|32520|2761989|B,Q,N
BPAY|20|0|221|Q
BPMC|98872|2196|194448|B,Q,N
BPOP|55310|0|124818|Q,N
BPRN|3807|0|4527|Q
BPT|38032|0|86019|Q,N
BPTH|4988|0|21017|Q
BPYPM|1025|0|3518|Q
BPYPN|799|0|2037|Q
BPYPO|1631|0|6794|Q
BPYPP|3066|373|8994|B,Q,N
BQ|15751|0|38438|Q,N
BR|108883|7|308435|B,Q,N
BRAG|5064|0|23899|Q,N
BRAZ|105|0|505|Q
BRBR|60445|76|194224|B,Q,N
BRBS|71780|0|316078|Q,N
BRC|16853|6|36163|B,Q,N
BRCC|367695|250|459362|B,Q,N
BRDG|20265|1137|54720|Q,N
BREA|16561|6|29853|Q,N
BRFH|2715|0|5177|Q,N
BRFS|367848|224|747798|B,Q,N
BRHY|7|0|8|Q
BRID|5960|0|13430|Q,N
BRK/A|26|0|2659|Q,N
BRK/B|822253|3346|2193451|B,Q,N
BRKH|1|0|6|N
BRKHW|19934|0|23734|Q
BRKL|20533|88|88180|Q,N
BRKR|281405|280|812767|Q,N
BRLN|1938|0|9126|Q,N
BRLS|764|115|2215|B,Q
BRLT|10795|1535|27301|Q,N
BRN|1970|0|5973|Q
BRNS|2138|0|9566|Q,N
BRNY|658|0|661|Q
BRO|124412|42|211825|B,Q,N
BROG|18130|18|25884|B,Q,N
BROS|326297|720|1066785|B,Q,N
BRRR|26222|0|46476|B,Q,N
BRSP|182643|0|299268|B,Q,N
BRT|3819|16|9754|Q,N
BRTR|623|0|1202|Q
BRTX|20851|115|42405|Q,N
BRW|16658|33|39548|B,Q
BRX|482342|223|875149|B,Q,N
BRY|80155|0|239836|Q,N
BRZE|105482|45|313836|B,Q,N
BRZU|27655|0|39869|B,Q,N
BSAC|25140|105|128222|B,Q,N
BSBK|4347|0|7555|Q
BSBR|48593|40|103753|B,Q,N
BSCO|125686|0|681752|B,Q,N
BSCP|419532|50|649071|B,Q,N
BSCQ|193757|17|328753|Q,N
BSCR|258164|16|337846|B,Q,N
BSCS|149263|0|278087|Q,N
BSCT|108084|0|261245|Q,N
BSCU|91248|0|161232|Q,N
BSCV|223638|0|288941|Q,N
BSCW|58519|0|88669|Q,N
BSCX|12016|0|26291|Q,N
BSCY|21299|0|38455|Q
BSEP|102|0|2843|Q
BSET|1707|22|7878|Q,N
BSFC|142379|8541|330686|Q,N
BSGM|608327|2860|1021172|B,Q,N
BSIG|23374|0|47602|B,Q,N
BSIIU|100|0|100|B
BSJO|8794|0|310287|Q
BSJP|164922|0|351339|Q,N
BSJQ|47379|0|85832|Q,N
BSJR|18591|0|29091|Q,N
BSJS|34731|0|47253|Q,N
BSJT|24673|0|29163|Q,N
BSJU|6905|0|8215|B,Q,N
BSJV|1090|0|1279|Q
BSJW|1100|0|1102|Q
BSL|20398|0|35340|Q,N
BSLK|99279|28439|253103|Q,N
BSM|85210|1667|143109|Q,N
BSMC|280|0|5578|Q
BSMO|301|0|21796|Q
BSMP|1326|0|31288|Q
BSMQ|10483|0|25651|Q
BSMR|10155|0|25755|Q
BSMS|4919|0|15462|Q
BSMT|20197|0|41345|Q
BSMU|7164|0|12968|Q
BSMV|40534|0|44248|Q,N
BSMW|4844|0|14984|Q
BSMY|6349|0|6349|Q
BSRR|3934|0|9861|B,Q
BSSX|7110|0|13345|Q
BST|15730|0|46764|B,Q,N
BSTP|3064|0|3908|Q
BSTZ|61812|667|148081|B,Q,N
BSV|717854|2199|1193738|B,Q,N
BSVN|4677|0|7894|B,Q,N
BSVO|54391|0|78506|Q,N
BSX|653658|12913|2194684|B,Q,N
BSY|118835|504|427752|B,Q,N
BTA|20927|0|48494|Q
